year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1837,1907,0.607,0.207,0.186
1838,1907,0.602,0.211,0.187
1839,1907,0.59,0.219,0.191
1840,1907,0.579,0.227,0.194
1841,1907,0.567,0.236,0.197
1842,1907,0.54,0.254,0.206
1843,1907,0.54,0.255,0.205
1844,1907,0.535,0.258,0.207
1845,1907,0.531,0.261,0.208
1846,1907,0.519,0.269,0.212
1847,1907,0.508,0.277,0.214
1848,1907,0.499,0.285,0.216
1849,1907,0.49,0.292,0.218
1850,1907,0.482,0.299,0.22
1851,1907,0.473,0.306,0.221
1852,1907,0.459,0.317,0.224
1853,1907,0.456,0.32,0.224
1854,1907,0.448,0.326,0.226
1855,1907,0.439,0.333,0.227
1856,1907,0.431,0.34,0.229
1857,1907,0.423,0.346,0.231
1858,1907,0.414,0.353,0.233
1859,1907,0.406,0.359,0.234
1860,1907,0.398,0.366,0.236
1861,1907,0.39,0.372,0.238
1862,1907,0.377,0.382,0.241
1863,1907,0.374,0.385,0.241
1864,1907,0.366,0.392,0.242
1865,1907,0.358,0.398,0.244
1866,1907,0.351,0.404,0.245
1867,1907,0.343,0.411,0.246
1868,1907,0.336,0.417,0.247
1869,1907,0.33,0.422,0.248
1870,1907,0.324,0.427,0.249
1871,1907,0.319,0.432,0.249
1872,1907,0.307,0.44,0.253
1873,1907,0.304,0.444,0.252
1874,1907,0.297,0.45,0.253
1875,1907,0.289,0.455,0.255
1876,1907,0.285,0.457,0.258
1877,1907,0.282,0.458,0.26
1878,1907,0.281,0.457,0.263
1879,1907,0.279,0.456,0.265
1880,1907,0.274,0.46,0.267
1881,1907,0.275,0.441,0.284
1882,1907,0.27,0.43,0.3
1883,1907,0.265,0.418,0.317
1884,1907,0.26,0.406,0.334
1885,1907,0.258,0.381,0.361
1886,1907,0.266,0.398,0.337
1887,1907,0.282,0.403,0.315
1888,1907,0.298,0.407,0.295
1889,1907,0.31,0.424,0.266
1890,1907,0.331,0.413,0.256
1891,1907,0.344,0.418,0.238
1892,1907,0.38,0.397,0.223
1893,1907,0.409,0.383,0.208
1894,1907,0.669,0.186,0.144
