year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1895,0.452,0.335,0.214,0.0148,52
1895,0.443,0.341,0.216,0.0153,51
1895,0.434,0.348,0.218,0.0162,50
1895,0.425,0.355,0.22,0.0157,49
1895,0.417,0.362,0.221,0.0152,48
1895,0.408,0.37,0.222,0.0152,47
1895,0.399,0.379,0.222,0.0152,46
1895,0.393,0.383,0.224,0.0148,45
1895,0.385,0.391,0.224,0.0147,44
1895,0.38,0.395,0.225,0.0132,43
1895,0.375,0.398,0.226,0.0134,42
1895,0.37,0.402,0.227,0.0129,41
1895,0.365,0.406,0.228,0.0123,40
1895,0.358,0.412,0.23,0.0122,39
1895,0.35,0.419,0.231,0.0122,38
1895,0.342,0.426,0.232,0.0122,37
1895,0.335,0.431,0.234,0.0119,36
1895,0.332,0.43,0.238,0.011,35
1895,0.326,0.434,0.24,0.0107,34
1895,0.323,0.433,0.244,0.009,33
1895,0.319,0.432,0.249,0.0092,32
1895,0.316,0.427,0.258,0.0084,31
1895,0.313,0.419,0.268,0.0075,30
1895,0.31,0.412,0.278,0.0068,29
1895,0.306,0.405,0.289,0.0072,28
1895,0.302,0.398,0.3,0.0088,27
1895,0.297,0.392,0.312,0.0106,26
1895,0.292,0.383,0.325,0.0127,25
1895,0.286,0.403,0.311,0.0103,24
1895,0.284,0.417,0.299,0.0077,23
1895,0.293,0.422,0.285,0.0055,22
1895,0.307,0.418,0.274,0.0053,21
1895,0.322,0.414,0.264,0.0069,20
1895,0.342,0.402,0.256,0.0095,19
1895,0.352,0.405,0.243,0.0117,18
1895,0.372,0.396,0.232,0.0152,17
1895,0.384,0.394,0.223,0.0174,16
