year_of_birth,year_of_census,1. Sector,2. Sector,3. Sector
1855,1925,0.452,0.274,0.274
1856,1925,0.45,0.275,0.275
1857,1925,0.43,0.292,0.278
1858,1925,0.399,0.32,0.281
1859,1925,0.383,0.329,0.287
1860,1925,0.374,0.333,0.293
1861,1925,0.367,0.335,0.298
1862,1925,0.361,0.336,0.303
1863,1925,0.356,0.337,0.308
1864,1925,0.352,0.336,0.312
1865,1925,0.347,0.336,0.318
1866,1925,0.342,0.335,0.323
1867,1925,0.337,0.336,0.328
1868,1925,0.332,0.336,0.333
1869,1925,0.327,0.336,0.338
1870,1925,0.322,0.336,0.342
1871,1925,0.317,0.337,0.346
1872,1925,0.312,0.337,0.351
1873,1925,0.308,0.338,0.355
1874,1925,0.303,0.339,0.358
1875,1925,0.298,0.341,0.362
1876,1925,0.293,0.342,0.365
1877,1925,0.288,0.344,0.368
1878,1925,0.283,0.345,0.372
1879,1925,0.278,0.347,0.375
1880,1925,0.274,0.348,0.378
1881,1925,0.27,0.349,0.381
1882,1925,0.266,0.35,0.384
1883,1925,0.262,0.35,0.387
1884,1925,0.26,0.351,0.389
1885,1925,0.258,0.351,0.391
1886,1925,0.256,0.351,0.392
1887,1925,0.255,0.351,0.394
1888,1925,0.254,0.351,0.395
1889,1925,0.253,0.351,0.396
1890,1925,0.253,0.35,0.398
1891,1925,0.251,0.351,0.398
1892,1925,0.25,0.352,0.399
1893,1925,0.249,0.351,0.399
1894,1925,0.25,0.35,0.4
1895,1925,0.25,0.349,0.4
1896,1925,0.253,0.347,0.4
1897,1925,0.257,0.343,0.4
1898,1925,0.261,0.341,0.398
1899,1925,0.265,0.338,0.398
1900,1925,0.27,0.335,0.396
1901,1925,0.278,0.329,0.393
1902,1925,0.286,0.324,0.39
1903,1925,0.292,0.322,0.385
1904,1925,0.296,0.326,0.379
1905,1925,0.299,0.33,0.371
1906,1925,0.303,0.334,0.363
1907,1925,0.308,0.336,0.356
1908,1925,0.317,0.339,0.344
1909,1925,0.328,0.341,0.331
1910,1925,0.338,0.341,0.32
1911,1925,0.408,0.293,0.299
1912,1925,0.799,0.049,0.151
