year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1925,0.327,0.336,0.338,0.0336,56
1925,0.322,0.336,0.342,0.0256,55
1925,0.317,0.337,0.346,0.0097,54
1925,0.312,0.337,0.351,0.0068,53
1925,0.308,0.338,0.355,0.0059,52
1925,0.303,0.339,0.358,0.006,51
1925,0.298,0.341,0.362,0.0064,50
1925,0.293,0.342,0.365,0.0064,49
1925,0.288,0.344,0.368,0.0065,48
1925,0.283,0.345,0.372,0.0065,47
1925,0.278,0.347,0.375,0.0067,46
1925,0.274,0.348,0.378,0.0069,45
1925,0.27,0.349,0.381,0.0067,44
1925,0.266,0.35,0.384,0.0069,43
1925,0.262,0.35,0.387,0.0069,42
1925,0.26,0.351,0.389,0.0071,41
1925,0.258,0.351,0.391,0.0072,40
1925,0.256,0.351,0.392,0.0076,39
1925,0.255,0.351,0.394,0.008,38
1925,0.254,0.351,0.395,0.0082,37
1925,0.253,0.351,0.396,0.0082,36
1925,0.253,0.35,0.398,0.008,35
1925,0.251,0.351,0.398,0.0084,34
1925,0.25,0.352,0.399,0.0085,33
1925,0.249,0.351,0.399,0.0085,32
1925,0.25,0.35,0.4,0.008,31
1925,0.25,0.349,0.4,0.0079,30
1925,0.253,0.347,0.4,0.0072,29
1925,0.257,0.343,0.4,0.0063,28
1925,0.261,0.341,0.398,0.0054,27
1925,0.265,0.338,0.398,0.0041,26
1925,0.27,0.335,0.396,0.0029,25
1925,0.278,0.329,0.393,0.001,24
1925,0.286,0.324,0.39,0.0014,23
1925,0.292,0.322,0.385,0.0029,22
1925,0.296,0.326,0.379,0.0035,21
1925,0.299,0.33,0.371,0.0041,20
1925,0.303,0.334,0.363,0.0048,19
1925,0.308,0.336,0.356,0.0069,18
1925,0.317,0.339,0.344,0.0098,17
1925,0.328,0.341,0.331,0.0128,16
