year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1933,0.319,0.315,0.366,0.0453,58
1933,0.314,0.317,0.37,0.0312,57
1933,0.309,0.318,0.373,0.012,56
1933,0.304,0.319,0.377,0.01,55
1933,0.299,0.32,0.381,0.0097,54
1933,0.295,0.321,0.385,0.0088,53
1933,0.29,0.322,0.388,0.0083,52
1933,0.285,0.322,0.392,0.0077,51
1933,0.282,0.323,0.395,0.006,50
1933,0.279,0.322,0.398,0.0052,49
1933,0.277,0.322,0.401,0.0052,48
1933,0.276,0.321,0.403,0.0047,47
1933,0.276,0.319,0.405,0.004,46
1933,0.276,0.318,0.406,0.0033,45
1933,0.276,0.318,0.406,0.0028,44
1933,0.276,0.318,0.407,0.0027,43
1933,0.276,0.318,0.407,0.0025,42
1933,0.276,0.318,0.407,0.0025,41
1933,0.276,0.318,0.407,0.0025,40
1933,0.276,0.318,0.406,0.0023,39
1933,0.277,0.318,0.405,0.002,38
1933,0.279,0.318,0.403,0.001,37
1933,0.28,0.318,0.402,0.0017,36
1933,0.281,0.32,0.4,0.0028,35
1933,0.281,0.321,0.398,0.004,34
1933,0.281,0.323,0.396,0.0053,33
1933,0.281,0.325,0.394,0.0063,32
1933,0.281,0.328,0.392,0.0073,31
1933,0.281,0.33,0.389,0.0083,30
1933,0.282,0.331,0.388,0.01,29
1933,0.283,0.332,0.386,0.0113,28
1933,0.284,0.34,0.376,0.01,27
1933,0.287,0.33,0.384,0.0152,26
1933,0.29,0.327,0.383,0.0167,25
1933,0.293,0.325,0.382,0.0167,24
1933,0.296,0.323,0.381,0.015,23
1933,0.299,0.31,0.391,0.017,22
1933,0.305,0.319,0.377,0.0185,21
1933,0.311,0.317,0.372,0.0213,20
1933,0.317,0.315,0.368,0.0247,19
1933,0.322,0.308,0.369,0.0277,18
1933,0.339,0.307,0.353,0.036,17
1933,0.356,0.306,0.338,0.055,16
