year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1882,0.5,0.274,0.226,0.0031,57
1882,0.491,0.28,0.229,0.0038,56
1882,0.483,0.286,0.231,0.0049,55
1882,0.48,0.288,0.232,0.0053,54
1882,0.477,0.29,0.233,0.0057,53
1882,0.474,0.293,0.233,0.006,52
1882,0.471,0.296,0.233,0.0065,51
1882,0.468,0.299,0.233,0.0068,50
1882,0.465,0.302,0.233,0.0072,49
1882,0.462,0.305,0.233,0.0072,48
1882,0.458,0.309,0.233,0.0071,47
1882,0.451,0.314,0.235,0.0069,46
1882,0.445,0.319,0.236,0.0068,45
1882,0.438,0.324,0.238,0.0067,44
1882,0.432,0.328,0.24,0.0063,43
1882,0.426,0.333,0.241,0.0062,42
1882,0.419,0.338,0.243,0.0062,41
1882,0.413,0.342,0.244,0.0059,40
1882,0.407,0.347,0.247,0.0057,39
1882,0.4,0.351,0.249,0.0056,38
1882,0.394,0.354,0.252,0.0052,37
1882,0.388,0.357,0.255,0.0048,36
1882,0.38,0.36,0.26,0.0045,35
1882,0.374,0.357,0.269,0.0034,34
1882,0.368,0.351,0.28,0.0024,33
1882,0.362,0.344,0.293,0.0022,32
1882,0.356,0.338,0.306,0.0034,31
1882,0.35,0.331,0.32,0.0048,30
1882,0.343,0.323,0.334,0.0065,29
1882,0.337,0.315,0.348,0.008,28
1882,0.331,0.306,0.363,0.0102,27
1882,0.326,0.296,0.378,0.0125,26
1882,0.321,0.288,0.391,0.0146,25
1882,0.322,0.281,0.396,0.0156,24
1882,0.325,0.276,0.399,0.0166,23
1882,0.331,0.27,0.399,0.018,22
1882,0.338,0.263,0.399,0.0187,21
1882,0.345,0.258,0.397,0.0189,20
1882,0.353,0.253,0.394,0.0192,19
1882,0.363,0.247,0.39,0.0193,18
1882,0.381,0.236,0.383,0.02,17
1882,0.458,0.156,0.387,0.0308,16
1895,0.48,0.275,0.245,0.0062,58
1895,0.47,0.281,0.25,0.0066,57
1895,0.459,0.287,0.254,0.0073,56
1895,0.449,0.292,0.258,0.0079,55
1895,0.441,0.298,0.261,0.0084,54
1895,0.433,0.304,0.263,0.0082,53
1895,0.425,0.309,0.265,0.0082,52
1895,0.418,0.315,0.268,0.0081,51
1895,0.41,0.32,0.269,0.0084,50
1895,0.403,0.326,0.271,0.0087,49
1895,0.397,0.331,0.273,0.0087,48
1895,0.39,0.335,0.275,0.0088,47
1895,0.384,0.34,0.276,0.0088,46
1895,0.377,0.344,0.279,0.0088,45
1895,0.368,0.348,0.284,0.0093,44
1895,0.36,0.352,0.288,0.0098,43
1895,0.352,0.356,0.292,0.0102,42
1895,0.345,0.359,0.296,0.0105,41
1895,0.339,0.364,0.297,0.0105,40
1895,0.334,0.369,0.297,0.0105,39
1895,0.329,0.375,0.296,0.0104,38
1895,0.325,0.38,0.295,0.0104,37
1895,0.321,0.384,0.295,0.0097,36
1895,0.316,0.387,0.297,0.0092,35
1895,0.31,0.384,0.305,0.0085,34
1895,0.305,0.381,0.314,0.008,33
1895,0.298,0.377,0.324,0.0078,32
1895,0.293,0.373,0.335,0.0075,31
1895,0.288,0.366,0.346,0.0077,30
1895,0.285,0.356,0.359,0.0077,29
1895,0.284,0.343,0.373,0.0098,28
1895,0.282,0.33,0.388,0.0125,27
1895,0.279,0.316,0.405,0.0155,26
1895,0.279,0.3,0.422,0.0182,25
1895,0.289,0.295,0.415,0.0174,24
1895,0.299,0.295,0.406,0.016,23
1895,0.309,0.294,0.397,0.0145,22
1895,0.319,0.293,0.388,0.0151,21
1895,0.33,0.292,0.378,0.0154,20
1895,0.34,0.291,0.369,0.0155,19
1895,0.351,0.289,0.36,0.0159,18
1895,0.365,0.273,0.363,0.0189,17
1895,0.381,0.249,0.371,0.0228,16
1907,0.402,0.312,0.286,0.0056,52
1907,0.397,0.316,0.287,0.0059,51
1907,0.391,0.32,0.288,0.0043,50
1907,0.388,0.323,0.29,0.0013,49
1907,0.379,0.327,0.294,0.0007,48
1907,0.37,0.332,0.298,0.0006,47
1907,0.362,0.337,0.302,0.0006,46
1907,0.353,0.34,0.307,0.0009,45
1907,0.345,0.346,0.309,0.0012,44
1907,0.338,0.35,0.313,0.0016,43
1907,0.334,0.352,0.314,0.0018,42
1907,0.331,0.355,0.314,0.0022,41
1907,0.328,0.358,0.314,0.0025,40
1907,0.325,0.362,0.313,0.0029,39
1907,0.322,0.366,0.312,0.0034,38
1907,0.318,0.37,0.312,0.0038,37
1907,0.315,0.374,0.311,0.0041,36
1907,0.312,0.378,0.31,0.0046,35
1907,0.308,0.381,0.311,0.0048,34
1907,0.305,0.383,0.311,0.0052,33
1907,0.303,0.385,0.313,0.0054,32
1907,0.302,0.384,0.314,0.0057,31
1907,0.3,0.384,0.315,0.0058,30
1907,0.296,0.386,0.318,0.006,29
1907,0.293,0.385,0.322,0.0059,28
1907,0.286,0.384,0.33,0.0053,27
1907,0.275,0.373,0.351,0.0033,26
1907,0.265,0.353,0.382,0.0003,25
1907,0.254,0.327,0.418,0.0034,24
1907,0.243,0.3,0.457,0.0076,23
1907,0.23,0.269,0.501,0.0122,22
1907,0.25,0.281,0.469,0.0085,21
1907,0.269,0.286,0.444,0.0072,20
1907,0.287,0.293,0.419,0.0064,19
1907,0.316,0.302,0.381,0.0071,18
1907,0.325,0.304,0.371,0.0081,17
1907,0.36,0.294,0.345,0.0122,16
1925,0.332,0.336,0.333,0.0379,57
1925,0.327,0.336,0.338,0.0336,56
1925,0.322,0.336,0.342,0.0256,55
1925,0.317,0.337,0.346,0.0097,54
1925,0.312,0.337,0.351,0.0068,53
1925,0.308,0.338,0.355,0.0059,52
1925,0.303,0.339,0.358,0.006,51
1925,0.298,0.341,0.362,0.0064,50
1925,0.293,0.342,0.365,0.0064,49
1925,0.288,0.344,0.368,0.0065,48
1925,0.283,0.345,0.372,0.0065,47
1925,0.278,0.347,0.375,0.0067,46
1925,0.274,0.348,0.378,0.0069,45
1925,0.27,0.349,0.381,0.0067,44
1925,0.266,0.35,0.384,0.0069,43
1925,0.262,0.35,0.387,0.0069,42
1925,0.26,0.351,0.389,0.0071,41
1925,0.258,0.351,0.391,0.0072,40
1925,0.256,0.351,0.392,0.0076,39
1925,0.255,0.351,0.394,0.008,38
1925,0.254,0.351,0.395,0.0082,37
1925,0.253,0.351,0.396,0.0082,36
1925,0.253,0.35,0.398,0.008,35
1925,0.251,0.351,0.398,0.0084,34
1925,0.25,0.352,0.399,0.0085,33
1925,0.249,0.351,0.399,0.0085,32
1925,0.25,0.35,0.4,0.008,31
1925,0.25,0.349,0.4,0.0079,30
1925,0.253,0.347,0.4,0.0072,29
1925,0.257,0.343,0.4,0.0063,28
1925,0.261,0.341,0.398,0.0054,27
1925,0.265,0.338,0.398,0.0041,26
1925,0.27,0.335,0.396,0.0029,25
1925,0.278,0.329,0.393,0.001,24
1925,0.286,0.324,0.39,0.0014,23
1925,0.292,0.322,0.385,0.0029,22
1925,0.296,0.326,0.379,0.0035,21
1925,0.299,0.33,0.371,0.0041,20
