year_of_birth,year,1. Sector,2. Sector,3. Sector
1855,1925,0.569,0.246,0.185
1856,1925,0.53683746,0.27297553,0.19018699
1857,1925,0.51039064,0.29170048,0.19790885
1858,1925,0.486,0.314,0.2
1859,1925,0.47162697,0.31770697,0.21066612
1860,1925,0.45651573,0.3269818,0.21650252
1861,1925,0.4431001,0.33465925,0.22224069
1862,1925,0.4309001,0.3411403,0.22795965
1863,1925,0.422,0.342,0.236
1864,1925,0.40905145,0.35151875,0.23942977
1865,1925,0.39908093,0.35575074,0.24516828
1866,1925,0.3896126,0.35950541,0.250882
1867,1925,0.3805801,0.3628763,0.2565436
1868,1925,0.37193483,0.36594173,0.26212344
1869,1925,0.36364183,0.36876768,0.26759046
1870,1925,0.355,0.371,0.274
1871,1925,0.34803024,0.37391073,0.27805898
1872,1925,0.34069312,0.37630874,0.28299817
1873,1925,0.3336672,0.3786313,0.28770152
1874,1925,0.3269566,0.3809003,0.2921432
1875,1925,0.32056686,0.38313222,0.2963009
1876,1925,0.31450337,0.3853396,0.30015704
1877,1925,0.3087697,0.38753137,0.3036989
1878,1925,0.3033672,0.3897142,0.30691856
1879,1925,0.29829413,0.39189297,0.30981287
1880,1925,0.291,0.4,0.308
1881,1925,0.2891159,0.39625221,0.31463185
1882,1925,0.28499457,0.3984384,0.31656703
1883,1925,0.28117147,0.40063244,0.31819612
1884,1925,0.2776349,0.40283722,0.3195279
1885,1925,0.27437285,0.40505585,0.32057127
1886,1925,0.2713734,0.4072919,0.32133472
1887,1925,0.26862517,0.40954918,0.32182565
1888,1925,0.26611778,0.411832,0.32205018
1889,1925,0.2638422,0.4141451,0.32201266
1890,1925,0.262,0.412,0.326
1891,1925,0.25995916,0.41888276,0.32115805
1892,1925,0.25834367,0.42131853,0.3203378
1893,1925,0.2569448,0.42380688,0.31924826
1894,1925,0.25576648,0.42635405,0.3178795
1895,1925,0.25481707,0.4289659,0.31621704
1896,1925,0.2541108,0.4316478,0.31424138
1897,1925,0.25366947,0.43440342,0.31192708
1898,1925,0.253,0.438,0.309
1899,1925,0.2537228,0.44013274,0.30614448
1900,1925,0.25432822,0.4430873,0.3025845
1901,1925,0.25543442,0.44606665,0.29849893
1902,1925,0.25717136,0.4490181,0.29381058
1903,1925,0.265,0.449,0.286
1904,1925,0.2634433,0.4543422,0.28221455
1905,1925,0.26861203,0.45631602,0.27507198
1906,1925,0.27557364,0.45764354,0.2667828
1907,1925,0.276,0.461,0.263
1908,1925,0.3023663,0.45117575,0.24645798
1909,1925,0.303,0.465,0.231
1910,1925,0.27050048,0.51026917,0.21923032
1911,1925,0.38,0.437,0.183
1912,1925,0.745,0.17,0.085
