year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1882,0.52,0.289,0.191,0.0238,55
1882,0.51530075,0.29330954,0.19138965,0.0223,54
1882,0.510329,0.29741228,0.19225872,0.0207,53
1882,0.5051057,0.30173275,0.1931616,0.0167,52
1882,0.49956748,0.30632964,0.1941029,0.0177,51
1882,0.49364015,0.31127498,0.19508487,0.0164,50
1882,0.48724213,0.3166521,0.19610573,0.0154,49
1882,0.48029432,0.32254857,0.19715711,0.0154,48
1882,0.47273752,0.32904083,0.19822167,0.0157,47
1882,0.46455845,0.33616957,0.19927199,0.0163,46
1882,0.456,0.344,0.201,0.0169,45
1882,0.44667155,0.35214314,0.20118523,0.0184,44
1882,0.43736416,0.36065298,0.2019828,0.0198,43
1882,0.4282012,0.3691384,0.20266043,0.0227,42
1882,0.41949555,0.37725526,0.20324916,0.0223,41
1882,0.41151515,0.38465992,0.20382488,0.0232,40
1882,0.40444678,0.39103848,0.20451468,0.0237,39
1882,0.3983837,0.39611265,0.2055036,0.0235,38
1882,0.39333257,0.39962468,0.20704277,0.0225,37
1882,0.38922703,0.40131888,0.2094541,0.0205,36
1882,0.386,0.401,0.213,0.0174,35
1882,0.38324633,0.39834175,0.21841188,0.0131,34
1882,0.3808772,0.39352393,0.22559892,0.0109,33
1882,0.37849462,0.38684213,0.23466328,0.0072,32
1882,0.37582105,0.37896532,0.24521361,0.0126,31
1882,0.372746,0.37072095,0.256533,0.0181,30
1882,0.369364,0.3628697,0.26776633,0.0234,29
1882,0.36591846,0.35596427,0.27811727,0.028,28
1882,0.36271584,0.3503358,0.28694835,0.0326,27
1882,0.36007348,0.34615114,0.2937754,0.0372,26
1882,0.358,0.343,0.298,0.0406,25
1882,0.35781154,0.34227735,0.2999111,0.0424,24
1882,0.35901174,0.34243813,0.29855013,0.0427,23
1882,0.3625202,0.34363937,0.2938404,0.0404,22
1882,0.36915126,0.34526303,0.28558567,0.0385,21
1882,0.37997502,0.34626037,0.27376467,0.0345,20
1882,0.39626065,0.34510216,0.25863725,0.0372,19
1895,0.477,0.314,0.209,0.0409,55
1895,0.46503788,0.32365778,0.21130437,0.0406,54
1895,0.457828,0.3291388,0.21303329,0.0367,53
1895,0.4505971,0.33473924,0.21466368,0.0365,52
1895,0.44333422,0.3405015,0.21616428,0.0348,51
1895,0.436036,0.34646314,0.21750084,0.0335,50
1895,0.42870408,0.35265666,0.21863922,0.0324,49
1895,0.42134118,0.35910857,0.21955027,0.0316,48
1895,0.4139468,0.3658373,0.22021593,0.0309,47
1895,0.40651435,0.3728491,0.22063658,0.0309,46
1895,0.393,0.383,0.224,0.0333,45
1895,0.3914769,0.38764256,0.22088048,0.0327,44
1895,0.3838378,0.39530247,0.22085974,0.034,43
1895,0.37610576,0.40297848,0.22091573,0.0347,42
1895,0.36829212,0.4104741,0.2212338,0.0355,41
1895,0.36043566,0.4175184,0.22204585,0.036,40
1895,0.35261065,0.42376345,0.22362588,0.036,39
1895,0.34492955,0.4287976,0.22627282,0.0354,38
1895,0.33753768,0.43218932,0.230273,0.0339,37
1895,0.33059347,0.43356925,0.23583727,0.0314,36
1895,0.332,0.43,0.238,0.0268,35
1895,0.3185617,0.42979646,0.25164187,0.0313,34
1895,0.31360334,0.42511287,0.2612838,0.0318,33
1895,0.30936483,0.41928643,0.2713488,0.0305,32
1895,0.30584854,0.41294935,0.28120208,0.0293,31
1895,0.303081,0.40661976,0.29029918,0.0276,30
1895,0.30111885,0.40063214,0.29824898,0.0281,29
1895,0.3000442,0.395153,0.30480275,0.0301,28
1895,0.29995817,0.39024344,0.3097984,0.0314,27
1895,0.3009745,0.38593236,0.3130931,0.0322,26
1895,0.292,0.383,0.325,0.0375,25
1895,0.30676997,0.37944433,0.31378567,0.0314,24
1895,0.31171155,0.37769058,0.31059793,0.0305,23
1895,0.31800127,0.37742808,0.30457062,0.0333,22
1895,0.3254536,0.37916186,0.29538456,0.0353,21
1895,0.33369225,0.38337877,0.28292903,0.0357,20
1895,0.342,0.402,0.256,0.0277,19
1907,0.43219888,0.33694828,0.23085277,0.0436,52
1907,0.42430305,0.3433519,0.232345,0.0362,51
1907,0.416281,0.34988046,0.23383851,0.0303,50
1907,0.40816236,0.35649973,0.23533796,0.0256,49
1907,0.3999893,0.3631659,0.2368448,0.023,48
1907,0.39181298,0.3698295,0.23835745,0.0207,47
1907,0.38368943,0.3764393,0.23987126,0.0189,46
1907,0.377,0.382,0.241,0.0169,45
1907,0.36783284,0.3893031,0.24286406,0.0165,44
1907,0.36021233,0.3954766,0.24431106,0.0148,43
1907,0.35286447,0.40144384,0.24569169,0.0137,42
1907,0.34582984,0.40720117,0.246969,0.0144,41
1907,0.33913743,0.41276705,0.24809551,0.0154,40
1907,0.33280212,0.41818288,0.24901502,0.0164,39
1907,0.3268233,0.4235082,0.2496685,0.0174,38
1907,0.32118484,0.42881098,0.25000414,0.0187,37
1907,0.31585467,0.43415403,0.24999125,0.0196,36
1907,0.307,0.44,0.253,0.0207,35
1907,0.30588043,0.4451246,0.24899499,0.022,34
1907,0.30102593,0.4507727,0.24820128,0.0232,33
1907,0.29604274,0.4564563,0.24750088,0.0245,32
1907,0.29075202,0.46191213,0.24733582,0.0256,31
1907,0.2850754,0.46646345,0.2484612,0.0264,30
1907,0.27913663,0.46885246,0.25201085,0.0263,29
1907,0.27322567,0.46739456,0.25937977,0.0249,28
1907,0.274,0.46,0.267,0.0192,27
1907,0.26398355,0.44494307,0.2910733,0.0159,26
1907,0.26292917,0.42221877,0.31485203,0.0081,25
1907,0.26407912,0.39930844,0.33661237,0.0068,24
1907,0.26611292,0.38471234,0.34917468,0.0097,23
1907,0.258,0.381,0.361,0.0133,22
1907,0.27260798,0.38560498,0.34178707,0.0067,21
