birth;year;age;1. Sektor;2. Sektor;3. Sektor;other;Age;year_of_birth;year_of_census;1. Sector;2. Sector;3. Sector
1868;1882;under 15;292123 ;142385 ;89650 ;0;14;1868;1882;55.7;27.2;17.1
1865;1882;15 to 19;1506900 ;1109178 ;743565 ;0;17;1865;1882;44.9;33.0;22.1
1857;1882;20 to 29;1832509 ;1756024 ;1524714 ;0;25;1857;1882;35.8;34.3;29.8
1847;1882;30 to 39;1332373 ;1385875 ;735845 ;0;35;1847;1882;38.6;40.1;21.3
1837;1882;40 to 49;1297735 ;978199 ;570898 ;0;45;1837;1882;45.6;34.4;20.1
1827;1882;50 to 59;1079874 ;600545 ;396159 ;0;55;1827;1882;52.0;28.9;19.1
1817;1882;60 to 69;695858 ;318091 ;223048 ;0;65;1817;1882;56.3;25.7;18.0
1812;1882;70 and above;199124 ;82275 ;63985 ;0;70;1812;1882;57.7;23.8;18.5
1884;1895;under 12;30604 ;1590 ;8305 ;0;11;1884;1895;75.6;3.9;20.5
1883;1895;12 to 13;104521 ;36561 ;33373 ;0;12;1883;1895;59.9;21.0;19.1
1881;1895;14 to 15;552237 ;464490 ;268284 ;0;14;1881;1895;43.0;36.1;20.9
1878;1895;16 to 18;593580 ;632348 ;371149 ;0;17;1878;1895;37.2;39.6;23.2
1876;1895;19 to 20;567094 ;666754 ;424161 ;0;19;1876;1895;34.2;40.2;25.6
1870;1895;20 to 29;1761104 ;2311955 ;1959489 ;0;25;1870;1895;29.2;38.3;32.5
1860;1895;30 to 39;1347206 ;1744980 ;968394 ;0;35;1860;1895;33.2;43.0;23.8
1850;1895;40 to 49;1232989 ;1203464 ;704110 ;0;45;1850;1895;39.3;38.3;22.4
1840;1895;50 to 59;1149404 ;757438 ;502663 ;0;55;1840;1895;47.7;31.4;20.9
1830;1895;60 to 69;702268 ;335406 ;248535 ;0;65;1830;1895;54.6;26.1;19.3
1825;1895;70 and above;251685 ;97886 ;76164 ;0;70;1825;1895;59.1;23.0;17.9
1894;1907;under 14;218261;60744;47054;0;13;1894;1907;66.9;18.6;14.4
1893;1907;14 to 15;666673;624271;338819;0;14;1893;1907;40.9;38.3;20.8
1891;1907;16 to 17;664737;807174;458786;0;16;1891;1907;34.4;41.8;23.8
1889;1907;18 to 19;604284;825974;518947;0;18;1889;1907;31.0;42.4;26.6
1885;1907;20 to 24;1078447;1591439;1506913;0;22;1885;1907;25.8;38.1;36.1
1880;1907;25 to 29;930960;1563302;907447;0;27;1880;1907;27.4;46.0;26.7
1872;1907;30 to 39;1715791;2461464;1412982;0;35;1872;1907;30.7;44.0;25.3
1862;1907;40 to 49;1609266;1629519;1031150;0;45;1862;1907;37.7;38.2;24.1
1852;1907;50 to 59;1323071;912835;647231;0;55;1852;1907;45.9;31.7;22.4
1842;1907;60 to 69;813163;383161;310467;0;65;1842;1907;54.0;25.4;20.6
1837;1907;70 and above;257854;88083;79021;0;70;1837;1907;60.7;20.7;18.6
1912;1925;under 14;161558;36874;18476;0;13;1912;1925;74.5;17.0;8.5
1911;1925;14 to 15;612432;703880;295711;0;14;1911;1925;38.0;43.7;18.3
1909;1925;16 to 17;649612;996091;495728;0;16;1909;1925;30.3;46.5;23.1
1907;1925;18 to 19;606861;1012021;578361;0;18;1907;1925;27.6;46.1;26.3
1903;1925;20 to 24;1325749;2243782;1432587;0;22;1903;1925;26.5;44.9;28.6
1898;1925;25 to 29;953507;1649940;1162143;0;27;1898;1925;25.3;43.8;30.9
1890;1925;30 to 39;1524192;2399489;1894331;0;35;1890;1925;26.2;41.2;32.6
1880;1925;40 to 49;1496668;2056425;1584925;0;45;1880;1925;29.1;40.0;30.8
