birth;year;age;1. Sektor;2. Sektor;3. Sektor;other;Age;year_of_birth;year_of_census;1. Sector;2. Sector;3. Sector
1868;1882;under 15;9.616;844;5.536;0;14;1868;1882;60.1;5.3;34.6
1865;1882;15 to 19;31.006;19.086;30.642;0;17;1865;1882;38.4;23.6;38.0
1857;1882;20 to 29;39.779;35.612;48.499;0;25;1857;1882;32.1;28.7;39.1
1847;1882;30 to 39;29.667;27.844;20.121;0;35;1847;1882;38.2;35.9;25.9
1837;1882;40 to 49;29.659;21.152;15.708;0;45;1837;1882;44.6;31.8;23.6
1827;1882;50 to 59;25.128;14.837;12.038;0;55;1827;1882;48.3;28.5;23.1
1817;1882;60 to 69;18.008;9.003;7.723;0;65;1817;1882;51.8;25.9;22.2
1812;1882;70 and above;5.778;2.905;2.502;0;70;1812;1882;51.7;26.0;22.4
1884;1895;under 12;1.129;14;378;0;11;1884;1895;74.2;0.9;24.9
1883;1895;12 to 13;4.204;115;1.715;0;12;1883;1895;69.7;1.9;28.4
1881;1895;14 to 15;11.423;5.266;10.981;0;14;1881;1895;41.3;19.0;39.7
1878;1895;16 to 18;14.628;10.730;14.017;0;17;1878;1895;37.2;27.3;35.6
1876;1895;19 to 20;14.019;12.013;15.259;0;19;1876;1895;34.0;29.1;37.0
1870;1895;20 to 29;43.071;46.397;65.701;0;25;1870;1895;27.8;29.9;42.3
1860;1895;30 to 39;30.564;37.167;28.571;0;35;1860;1895;31.7;38.6;29.7
1850;1895;40 to 49;27.721;25.210;20.521;0;45;1850;1895;37.7;34.3;27.9
1840;1895;50 to 59;25.348;16.434;14.570;0;55;1840;1895;45.0;29.2;25.9
1830;1895;60 to 69;16.983;8.823;8.305;0;65;1830;1895;49.8;25.9;24.3
1825;1895;70 and above;7.560;3.554;3.102;0;70;1825;1895;53.2;25.0;21.8
1894;1907;under 14;5545;343;1887;0;13;1894;1907;71.3;4.4;24.3
1893;1907;14 to 15;14312;7375;14198;0;14;1893;1907;39.9;20.6;39.6
