year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1933,0.3217614,0.31957683,0.35866177,0.1563,59
1933,0.31412074,0.3211469,0.36473233,0.1034,58
1933,0.30803648,0.3219631,0.37000048,0.0593,57
1933,0.30310008,0.32228616,0.37461373,0.0371,56
1933,0.304,0.319,0.377,0.0229,55
1933,0.29569086,0.32201776,0.38229144,0.0186,54
1933,0.29290462,0.32158577,0.38550964,0.0184,53
1933,0.29058915,0.3210195,0.3883914,0.0156,52
1933,0.28866902,0.3203507,0.39098024,0.0112,51
1933,0.28708452,0.31960475,0.39331076,0.0112,50
1933,0.28578666,0.31880355,0.39540982,0.0113,49
1933,0.28473452,0.31796786,0.3972976,0.0115,48
1933,0.2838926,0.31711918,0.39898825,0.0134,47
1933,0.28322914,0.31628102,0.40048987,0.0136,46
1933,0.276,0.318,0.406,0.0196,45
1933,0.2823191,0.31475323,0.4029277,0.0103,44
1933,0.28201342,0.3141391,0.40384746,0.0079,43
1933,0.28176552,0.31369138,0.40454304,0.0054,42
1933,0.28154004,0.31347626,0.40498373,0.0015,41
1933,0.2812976,0.31357494,0.40512747,0.0013,40
1933,0.28099474,0.31408322,0.40492204,0.0016,39
1933,0.28058666,0.31510475,0.40430862,0.0031,38
1933,0.28003347,0.31673396,0.40323254,0.0042,37
1933,0.27931327,0.31902456,0.40166223,0.0045,36
1933,0.281,0.32,0.4,0.0076,35
1933,0.27747813,0.32534826,0.3971736,0.0054,34
1933,0.27654898,0.32895193,0.39449912,0.007,33
1933,0.2758082,0.33239618,0.39179558,0.0091,32
1933,0.2754134,0.33531478,0.3892718,0.0121,31
1933,0.27549088,0.33741096,0.3870981,0.0158,30
1933,0.27611914,0.33849773,0.3853831,0.0205,29
1933,0.27733082,0.3384989,0.38417026,0.0269,28
1933,0.284,0.34,0.376,0.0349,27
1933,0.2814978,0.33534473,0.38315746,0.0472,26
1933,0.2844391,0.33235684,0.383204,0.058,25
1933,0.28796977,0.32858402,0.38344628,0.0671,24
1933,0.29213935,0.32418022,0.38368043,0.072,23
1933,0.299,0.31,0.391,0.0793,22
1933,0.30272764,0.31450886,0.38276345,0.0578,21
1933,0.30930826,0.310198,0.3804938,0.0683,20
1933,0.31674823,0.30731097,0.37594083,0.0798,19
1933,0.322,0.308,0.369,0.1172,18
1933,0.33313996,0.30953434,0.35732576,0.1455,17
1933,0.356,0.306,0.338,0.1623,16
