year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1882,0.483,0.285,0.231,0.0154,55
1882,0.4824965,0.28879622,0.22870727,0.0156,54
1882,0.47952002,0.29110736,0.22937258,0.0157,53
1882,0.47636816,0.2935405,0.2300913,0.0169,52
1882,0.4729839,0.29614988,0.2308662,0.0152,51
1882,0.46931317,0.2989871,0.23169975,0.015,50
1882,0.465308,0.30209827,0.23259374,0.0149,49
1882,0.4609307,0.30552074,0.23354855,0.0149,48
1882,0.4561586,0.30927867,0.23456275,0.0152,47
1882,0.45098826,0.3133784,0.23563334,0.0157,46
1882,0.446,0.318,0.236,0.0167,45
1882,0.4395527,0.3225137,0.2379337,0.0175,44
1882,0.4333915,0.32744104,0.23916742,0.0186,43
1882,0.42702964,0.33249804,0.24047227,0.0194,42
1882,0.42054337,0.3375814,0.24187523,0.0212,41
1882,0.41400087,0.3425768,0.24342239,0.0223,40
1882,0.4074545,0.34735474,0.24519077,0.0233,39
1882,0.40093985,0.35174844,0.24731168,0.0239,38
1882,0.3944849,0.35549945,0.2500156,0.0239,37
1882,0.3881364,0.35815284,0.25371072,0.0229,36
1882,0.382,0.359,0.259,0.0203,35
1882,0.37627298,0.35654745,0.26717955,0.0155,34
1882,0.37110174,0.3498603,0.2790379,0.0079,33
1882,0.3663312,0.33880442,0.29486433,0.0073,32
1882,0.36145172,0.32533005,0.31321827,0.0157,31
1882,0.35602024,0.3122447,0.33173504,0.0246,30
1882,0.34993428,0.3014439,0.34862173,0.0338,29
1882,0.34329036,0.29359564,0.363114,0.0405,28
1882,0.33620065,0.28875962,0.37503973,0.0448,27
1882,0.32876256,0.2868449,0.38439253,0.0468,26
1882,0.321,0.287,0.391,0.0486,25
1882,0.31381306,0.2909515,0.39523542,0.0484,24
1882,0.30755836,0.2958339,0.39660782,0.0471,23
1882,0.3036286,0.30093727,0.3954341,0.0443,22
1882,0.30355296,0.30415833,0.3922887,0.0409,21
1882,0.3090576,0.30274913,0.3881933,0.0368,20
1882,0.3222169,0.29335257,0.38443047,0.0389,19
1895,0.45,0.292,0.259,0.0228,55
1895,0.44661462,0.2923677,0.26101765,0.0212,54
1895,0.44231078,0.2944264,0.26326284,0.0187,53
1895,0.43753535,0.2967721,0.26569256,0.0189,52
1895,0.4321282,0.29960537,0.26826644,0.0181,51
1895,0.42591,0.30318484,0.2709052,0.0176,50
1895,0.4186823,0.30783406,0.2734836,0.0176,49
1895,0.41025078,0.3139149,0.2758343,0.0183,48
1895,0.40050182,0.32172295,0.27777523,0.0196,47
1895,0.38954842,0.3312827,0.27916887,0.0216,46
1895,0.377,0.343,0.279,0.0241,45
1895,0.36627445,0.353327,0.28039846,0.0267,44
1895,0.35563523,0.36372674,0.28063807,0.0304,43
1895,0.3465584,0.37244198,0.2809997,0.0323,42
1895,0.3392423,0.37905756,0.28170016,0.0337,41
1895,0.33354533,0.38359532,0.28285936,0.0342,40
1895,0.32914492,0.38633227,0.2845228,0.0338,39
1895,0.32567585,0.38762248,0.28670168,0.0326,38
1895,0.32280865,0.38778457,0.28940675,0.0309,37
1895,0.32027698,0.3870515,0.29267156,0.0288,36
1895,0.317,0.386,0.297,0.0265,35
1895,0.31543916,0.38333967,0.3012212,0.0233,34
1895,0.31283042,0.38033834,0.30683124,0.0196,33
1895,0.30991,0.3763818,0.3137082,0.0188,32
